root,target,path,cost
1,2,2 <- 1,3
1,3,3 <- 1,5
1,4,4 <- 1,2
1,5,5 <- 4 <- 1,11
1,6,6 <- 1,2
1,7,7 <- 3 <- 1,8
1,8,8 <- 4 <- 1,7
1,9,9 <- 2 <- 1,7
1,10,10 <- 2 <- 1,16
1,11,11 <- 2 <- 1,10
1,12,12 <- 4 <- 1,12
1,13,13 <- 3 <- 1,7
1,14,14 <- 4 <- 1,9
1,15,15 <- 8 <- 4 <- 1,14
1,16,16 <- 10 <- 2 <- 1,27
1,17,17 <- 3 <- 1,17
1,18,18 <- 3 <- 1,19
1,19,19 <- 4 <- 1,4
1,20,20 <- 13 <- 3 <- 1,14
1,21,21 <- 14 <- 4 <- 1,11
1,22,22 <- 18 <- 3 <- 1,23
1,23,23 <- 4 <- 1,9
1,24,24 <- 12 <- 4 <- 1,20
1,25,25 <- 4 <- 1,11
1,26,26 <- 13 <- 3 <- 1,14
1,27,27 <- 22 <- 18 <- 3 <- 1,25
1,28,28 <- 9 <- 2 <- 1,13
1,29,29 <- 3 <- 1,10
1,30,30 <- 7 <- 3 <- 1,14
1,31,31 <- 11 <- 2 <- 1,16
1,32,32 <- 5 <- 4 <- 1,15
1,33,33 <- 3 <- 1,19
1,34,34 <- 11 <- 2 <- 1,17
1,35,35 <- 2 <- 1,13
1,36,36 <- 30 <- 7 <- 3 <- 1,16
1,37,37 <- 21 <- 14 <- 4 <- 1,19
1,38,38 <- 13 <- 3 <- 1,18
1,39,39 <- 4 <- 1,7
1,40,40 <- 7 <- 3 <- 1,14
1,41,41 <- 39 <- 4 <- 1,16
1,42,42 <- 12 <- 4 <- 1,23
1,43,43 <- 5 <- 4 <- 1,18
1,44,44 <- 13 <- 3 <- 1,13
1,45,45 <- 1,10
1,46,46 <- 4 <- 1,8
1,47,47 <- 40 <- 7 <- 3 <- 1,17
1,48,48 <- 2 <- 1,7
1,49,49 <- 8 <- 4 <- 1,13
1,50,50 <- 5 <- 4 <- 1,25
1,51,51 <- 30 <- 7 <- 3 <- 1,18
1,52,52 <- 6 <- 1,17
1,53,53 <- 14 <- 4 <- 1,18
1,54,54 <- 28 <- 9 <- 2 <- 1,20
1,55,55 <- 2 <- 1,14
1,56,56 <- 17 <- 3 <- 1,24
1,57,57 <- 43 <- 5 <- 4 <- 1,29
1,58,58 <- 46 <- 4 <- 1,21
1,59,59 <- 44 <- 13 <- 3 <- 1,17
1,60,60 <- 42 <- 12 <- 4 <- 1,26
1,61,61 <- 19 <- 4 <- 1,6
1,62,62 <- 43 <- 5 <- 4 <- 1,20
1,63,63 <- 13 <- 3 <- 1,10
1,64,64 <- 18 <- 3 <- 1,33
1,65,65 <- 28 <- 9 <- 2 <- 1,23
1,66,66 <- 34 <- 11 <- 2 <- 1,23
1,67,67 <- 31 <- 11 <- 2 <- 1,22
1,68,68 <- 55 <- 2 <- 1,19
1,69,69 <- 46 <- 4 <- 1,17
1,70,70 <- 33 <- 3 <- 1,32
1,71,71 <- 46 <- 4 <- 1,13
1,72,72 <- 33 <- 3 <- 1,34
1,73,73 <- 55 <- 2 <- 1,21
1,74,74 <- 61 <- 19 <- 4 <- 1,10
1,75,75 <- 45 <- 1,23
1,76,76 <- 61 <- 19 <- 4 <- 1,14
1,77,77 <- 71 <- 46 <- 4 <- 1,21
1,78,78 <- 29 <- 3 <- 1,16
1,79,79 <- 31 <- 11 <- 2 <- 1,18
1,80,80 <- 40 <- 7 <- 3 <- 1,27
1,81,81 <- 40 <- 7 <- 3 <- 1,16
1,82,82 <- 61 <- 19 <- 4 <- 1,16
1,83,83 <- 44 <- 13 <- 3 <- 1,18
1,84,84 <- 48 <- 2 <- 1,9
1,85,85 <- 61 <- 19 <- 4 <- 1,11
1,86,86 <- 76 <- 61 <- 19 <- 4 <- 1,16
1,87,87 <- 50 <- 5 <- 4 <- 1,39
1,88,88 <- 46 <- 4 <- 1,18
1,89,89 <- 39 <- 4 <- 1,13
1,90,90 <- 47 <- 40 <- 7 <- 3 <- 1,19
1,91,91 <- 49 <- 8 <- 4 <- 1,16
1,92,92 <- 85 <- 61 <- 19 <- 4 <- 1,13
1,93,93 <- 78 <- 29 <- 3 <- 1,22
1,94,94 <- 70 <- 33 <- 3 <- 1,39
1,95,95 <- 52 <- 6 <- 1,26
1,96,96 <- 63 <- 13 <- 3 <- 1,16
1,97,97 <- 76 <- 61 <- 19 <- 4 <- 1,17
1,98,98 <- 53 <- 14 <- 4 <- 1,33
1,99,99 <- 53 <- 14 <- 4 <- 1,24
1,100,100 <- 63 <- 13 <- 3 <- 1,15
